descripcio;latitud;longitud
Moreno y Belgrano;-33.334.531;-60.224.776
Savio y Pombo;-3.335.629;-60.193.545
R188 Y Tucumán;-33.372.552;-60.203.055
R188 Y Victoria;-33.375.962;-60.206.729
R188 y Libertad;-33.381.747;-60.212.951
R188 y Pedro Mendoza;-33.384.607;-60.216.053
R188 y Congreso;-33.367.994;-60.198.124
R188 Y Balcarce;-33.362.941;-60.192.678
R188 Y Roca;-33.360.737;-60.190.387
Bustamante y Moreno;-33.330.417;-60.230.685
R188 y Apipé;-3.337.726;-60.208.093
R188 Y Howard;-33.374.001;-60.204.615
Savio y Rademil;-33.354.793;-60.195.732
R188 Y Montiel;-33.368.938;-60.199.151
TestServPub-TallerISCH;-33.253.641;-60.313.755
R188 Y Mansilla;-33.375.183;-60.205.888
Savio y Montevideo;-33.348.377;-60.204.747
Savio y boer;-33.349.247;-60.203.723
Savio y Cavalli;-33.347.597;-60.206.058
Savio y primavera;-33.349.658;-60.203.173
Viale y Moreno;-33.327.659;-60.234.706
Savio y JBJusto;-33.340.167;-60.216.653
Nación y Moreno;-33.336.253;-60.222.415
Savio y Segundo García;-3.335.117;-60.200.827
Moreno y José Ingenieros;-33.331.198;-60.229.481
Savio y San José;-33.345.157;-60.209.526
Lavalle y Moreno;-33.333.752;-60.225.955
Leon Guruciaga y Moreno;-33.332.909;-60.227.103
Savio y Pringles;-33.342.709;-60.213.028
España y Savio;-33.339.435;-60.217.791
Falcon y Savio;-3.334.109;-60.215.437
Garibaldi y Savio;-33.337.857;-60.220.106
Ameghino Y Savio;-33.338.611;-60.218.988
Savio y Cochabamba;-33.346.766;-60.207.201
Savio y San Lorenzo;-33.344.334;-60.210.686
Savio y Alurralde;-33.353.787;-60.197.311
Savio y Ponce de León;-33.352.478;-60.198.968
Moreno y Alberdi;-33.332.069;-6.022.828
R188 Y Alvear;-33.361.866;-60.191.567
Pellegrini y Savio;-33.337.071;-60.221.225
America y Moreno;-33.328.832;-60.233.043
Moreno Y Mitre;-33.335.358;-60.223.571
Savio y Terrasson;-3.334.352;-60.211.869
Necochea y Savio;-33.341.857;-6.021.435
Savio y Benitez;-33.345.923;-60.208.344
Savio y Quiroga;-33.354.258;-60.196.498
